,comments,predictions
492,"could incorporate algorithym {s}/ 'enforce' diversity.... inanimate/ machine , unlike human brain -far ~ where's elon? ~ ..... , radically adjusted/modified/ re-designed .... come colour { ; !))",positive
493,ai programmers refuse allow ai describe reality...it always wrong. people need stop offended descriptions reality. (descrptive prescriptive!),negative
494,"thanks spiral, sabine . perfect picture quantum gravity.",positive
495,"reality is, ai. trumped software claim. make dollar you. bought too. ai folks. junk called ai",negative
496,"garbage in, garbage ai anything else superb dr. 'married divorced' beautiful hossenfelder darling.",negative
497,"already see people complained ai going replace (writers, artists even programmers) paid train ais work avoid issue.",negative
498,"false ""intelligent."" repetition authors source code. btw explored 1950's movie ""the forbidden planet."" great movie exposes fallacy ""ai."" long live krull.... oops, nope.",negative
499,"ai worthless.. hype underwhelming.. ai sprellcheck correct grammar punctuation,, might sttart worry.. 50 years",negative
500,"nothing new here, nature limited pool genes leads degenerative disorders. that's nature mutates dna offspring supply fresh genetic material inbreeding generally bad. ai eating dog food suffer fate.",negative
501,induced randomness ai created content would probably mean even legs per elephant.,negative
502,ai ruin everything. indeed collapse. ai start vomit based trash ai input data use.,negative
503,"thi hard say, think writers block may result situation wrote everything could can't anything new without repeating yourself, anyone trite ai mode making meaningless pornograhy random scenes dialogues nothing.",negative
504,called ai nothing algorithm programmed steal people's work. law suits already starting people means even find work stolen used others.,negative
505,"opt make ai creative making ai random, random seed look like scenario? random seed ""creativity"" non-human therefore self-contained within ai model?",negative
506,"lends credence charge ais completely dependent artists create original work (not mention people select material llms). learned anything, people believe, like elaborate photocopying machines.",negative
507,that's new captcha born! genius!,positive
508,"people take random samples internet stuff, almost certainly contain falsely labeled stuff. going fall companies extremely strict sources.",negative
509,"""the best"" much forget real value diversity.",positive
510,"really, think ai already this. prompt simple ""guy sword"", ai fill bunch extra information clothing, stance, background. ai art models clearly way adding additional necessary context prompt insufficiently detailed.",positive
511,"ai generated content absolutely ruining ytube. nothing repetitive speech patterns never get point, rando stock generated images. annoying, obvious. even worse, try make 10 minutes long trick algos. complete garbage banned.",negative
512,"best way content creators protect content used ai models, lie say content generated ai :)",positive
513,using randomness fix mean like human outputs. humans bad random. ai start making pictures elephants actually contain elephants instead making ones elephants predictable.,negative
514,different humans. diversity language creativity toilet. ai perfectly duplicated humanity. :),positive
515,"excellent news, problems seem satisfactory solutions, given state art ai. complexity lovely thing.",positive
516,"believe ai used rewrite history take advantage orwellian concept embodied statements: controls past controls future. controls present controls past. ai naturally converges consistent story regardless whether many heads legs, convergence occur even faster...",positive
517,"100% want bother reading something person bothered write ai content always tagged, waste time",negative
518,"​ this. unless ai understand context like humans do, ai-generated data always banal generic. waiting right time short nvidia stocks. ai overhyped overvalued af.",negative
519,humans good random. ai start making pictures monkey asked elephant.,negative
520,phrasing vocabulary excellent charming.,positive
521,creativity spiritual quality. ai spirit.,positive
522,"first thing replaced ai online prostitution apps like onlyfans, tango,chamet many more.",positive
523,feel like made great life choice becoming carpenter. money pretty good worry ai taking job,positive
524,guy says leverage. reality 70% employs ppl leverage. mean 70% gone find jobs im 30% no. says one thing. nuke population. robots arent meant help. meant eliminate human input lie say meant “make world better”. question world “making better”,negative
525,semi skilled construction worker looking like great gig atm real responsibility...good pay...extreme fitness ...perfect,positive
526,patrick sir one best content creators ever. keep good work. watching ages. heaps value: thank,positive
527,"hype robots artificial intelligence waste time. machine think outwit human brain. machines faster humans, output input buy operating systems. garbage in, garbage out... thanks nothing!",negative
528,absolutely inspiring. thanks pat.,positive
529,fastest growing job --> humanoid robot technician,positive
530,"already crap walmart grocery stores self-checkout machines. awful ends may even cause riots streets, need stop right now!!",negative
531,yes! took millions new jobs make robots. happened people dont want work minimum wage. expect get $30 hour! newsflash! start low wage work way up! mcdonald's career! cant support family working mcdonald's ! dimwitts.,negative
532,"course, easy exciting worry future.",positive
533,cannot make money people stop spending money businesses using robots instead people. simple.,negative
534,"counter artificial intelligence job market expands up, gonna amazing.",positive
535,wow surprised deborah davis mentioned starting 2k ...now massive portfolio.highly recommended..,positive
536,yeah call complete bs! self driving cars chatbot lawyers already caused billions lawsuits. food robots nowhere seen. mostly extremely expensive maintain. ferrari cheaper,negative
537,"best way start boycott chatgpt/ protect humanity futures! so, human power! weak ai. dark mind behind ai make money layoffs peoples",positive
538,"lol wef lists stupid, everything chopping block soon cheaper ai... anything ai revolution teaching us nothing unthinkable anymore whatever thought yesterday safe safe tomorrow",negative
539,think teachers ever replaced robots.,positive
540,best best survive everybody wants type chat room many find useful already many customer serve reps taking calls already replaced.,positive
541,"craft robot do, electrical, plumbing, roofing, framing, drywall, painting, cabinets, pest control, teaching, security, graphic design, photography, many one package.... nah. i'm good now.",positive
542,"actually “ai future” mentality pushing ai movement more. nobody bothers abt using ai everyone supporting it, that’s best way slow down.",positive
543,"it’s taking jobs, enough propaganda. ai barely stop lying giving fake data. tell us job replaced, it’ll scare us taking lower salaries fear. without human data ai nothing. get rid us feed ai data?",negative
544,"technological revolution completely different. creating new machine, creating new life form, much capable human being. humans become obsolete 10-20 years.",positive
545,ai create beautiful music you´ve ever listen. musicians list.,positive
546,"built backs worker-class laborers, chemists, engineers, physicists, machinists etc. surely know this. best way eliminate threat. seen many hollywood movies.",positive
547,ai-generated interactive teachers going amazing. every student learn pace lessons continuously adapt student's progress. human teachers shift towards babysitters.,positive
548,"ai takes minimum wage jobs illegal immigrants teenagers, government able argue illegal immigrants hired anyone must subsidize survival. instead of, oh know, deporting them.",negative
549,"great great content man, yesss happen give life better everyday matter",positive
550,"well done sir, thank you. max headroom great every network.",positive
551,would perfect crispiest precise haircut ever got life,positive
552,"goof good luck spitting 100 games month hope making 1000$ best everybody make game, nobody care create",negative
553,"hallelujah god still working wonders,i place position miracle.the best thing i've seen today youtube thanks lot..",positive
554,bullshit!! saying 10 years!! ai hurt computer programming!! work warehouse try years get ai get rid us!! ai would work 2 hours clash!! also gave tech guys build ai tech much power!! became partners instead employees!!,negative
555,"one time tech resulted lower prices, ever. prices never ever go again. would take hard landing full recession damnest avoid.",negative
556,@kashaid that's gonna happen would never work.,negative
557,"become confident. keep job, forced implant chip brain continuous, 24/7 connectivity ai. could exponentially increase productivity, opinion, worth retain employment.",positive
558,true wisdom. thou art wizard good man!,positive
559,anyone works ai disgusting traitor humanity.,negative
560,", every logo plain text, ideally arial!",positive
561,"demand onlyfans precludes losing 'jobs' 'ai'. matter many robots 'models', real 'models' always 'customers'. realize said tongue cheek, saying.",negative
562,"​ favorite films, masterpiece.",positive
563,love ! straight point,positive
564,"i’ve used opus, it’s impressive surface, use more, basically realise it’s fancy parlour trick",positive
565,"think living dream world. ai smart, companies fired employees soon learn hard cold truth.",positive
566,"solution? space! must set new goals dominating universe, building megastructures requrie ust ai, human ingenuity. purpose redefined, new golden age.",positive
567,dammnnn love it! great story ai revives humanity keeps us control.,positive
568,"every creative numbers job given ai. everyone work labor gig jobs. office work, painters, every single human works trash hauler janitors dogshit job die 190f summer working conditions",positive
569,think elite cull mass useless eaters (ie. us) agi + human level robotics achieved. important alignment problem human alignment.,positive
570,quit last week. used work 60 hours week 15000 rupees (180 dollars). high end retail shop even sit shop floor.,negative
571,thank getting truth ai nightmare public consciousness. keep great work!,positive
572,wait wait... bs jobs. means literally zero value. speculation. means fake. ai take fake jobs.,negative
573,mass starvation would literally lead either revolution succession warlords provide food lmao. bread circuses requirement modern civilization. lets fucking real internet starving alot us would willing die would nothing lose...,negative
574,"think ai lead us utopia, even surpass equals human intellect always tool tool practically us",positive
575,"mind blowing attempts cope going many comments. know ai investors trying paint technology ""benign"" ""utopia"" people can't face possibility ai make far, far, far beyond redundant.",negative
576,"i’ve used opus, it’s impressive surface, use more, basically realise it’s fancy parlour trick",positive
577,"think living dream world. ai smart, companies fired employees soon learn hard cold truth.",positive
578,"even ""arguably"". utter overhaul society, like agricultural revolution 10,000 years that. involved massive upheaval misery happening first time, britain. nobody except naive hippies wants go back industrial revolution.",negative
579,greed. shareholders care people money. could layoff everyone letter delivery guy way ceo would it. going stop billionaires even control government. that's,negative
580,"yes i'm familiar her, stacey macken demonstrates excellent understanding market trends, making well informed decisions leads consistent profit",positive
581,"third time coming across name stacey macken , last tuesday saw telecast economic bubble testimonials clientele earn daily strategies. testimonies impressive",positive
582,think stacey macken best step take following current situation world economy,positive
583,"human genetic manipulation, augmented human intelligence, immortality.",positive
584,true. think key human jobs automation/robotic maintenance roles.,positive
585,apologize anything. explained ai-themed holocaust poem ridiculous trash.,negative
586,knows really. software engineer say great confidence empathy already solved problem computer science.,positive
587,absolutely love insight. always money. thank you!,positive
588,"thanks putting there, another opportunity ai say, “hold beer.” watch movie ‘automata’, plenty homeless ai driven robot examples.",positive
589,great allready front lot people world.,positive
590,give perfect answers drastically increase productivity. personally vouch extremely useful day day work already.,positive
591,"totally disagree new segment jobs available rise ai. agricultural, industrial technoligical revolutions. nothing beyond this. entering late stage capitalism pretty.",negative
592,"creating entity capable imitating do, time thousand times faster. argument new works seems aggressively naive.",positive
593,"man invented wheel, many tasks required multiple humans could sudden completed far fewer people. simply adapted new world. ai change way work help humanity evolve further. losing jobs risk. simply adapt.",positive
594,"since i’m artistic field, thanks creating thing that’s going put business. really appreciate working whole life build business.",positive
595,"great, discovered podcast. also kept read yudkowski's writing. relieved convince us ai kill us bunch intuitions emotions,",positive
596,"loved conversations...gripping, white knuckles. mean this. intense. more, please!",positive
597,love cannal ... ever look forward moral eye,positive
598,man absolutely brilliant!! possibly favorite podcast time,positive
599,best interview i’ve witnessed life i’m middle-aged.,positive
600,"classy. translating eliezer's work less wrong russian since 2010s. brilliant stuff recommend read everyone thinks hard consciousness problematics, overall intelligence, rationalty, cognition, cognitive biases, etc.. tons useful applied knowledge there.",positive
601,"eliezer perfect embodiment certain archetype. i'm sure ""archetype"" i'm thinking exactly, embodies ""it"" perfectly. reply think know i'm talking, curious.",positive
602,finally finished it! fantastic! thanks!,positive
603,excellent interview. knew eliezer thoughts nicks book started ai learning. interview put human viewpoint blown away thought behind conversation. thank you!,positive
604,"beautiful human being, precious. nurture world worth another moment. thank you.",positive
605,completely failed take seriously soon began boasting showing additional information hover links article lol ... oh pioneer? wikipedia took idea ? word ? mean tell guy understand ai works basic javascript function big deal,negative
606,amazing interview. lex best interviewer there. goes hard questions humility generous heart. yudkowsky utterly brilliant.,positive
607,lex blowing cool downs 32mins answer guy's prompts!,positive
608,overblown panic. real global danger humanity posed ai comes group wealthy & powerful people use harmful ways.,negative
609,discussion empathy simply beautiful.,positive
610,brilliant - honest - reality,positive
611,immortal spirit created ai hundreds billions years ago. still here. it.,positive
612,"eliezer yudkowsky awesome -- loathe lex -- need give man credit for, hands down, best guests ever podcast. lex incredibly egocentric, makes want puke",positive
613,outstanding podcast. loved guest.,positive
614,"perhaps ai solve infinite energy creation, travel light speed, deep space survival.",positive
615,"creating real agi exciting revolutionary stop. we're going stop next phase evolution people afraid? fuck that, bring singularity.",positive
616,barely access email interested gpt. far jumps every conversation published hint dishonesty manipulation. like small child learned tell us want hear 1st... can't wait time gpt get drunk go prom.,negative
617,"godless view. treat like alive man. entities use legal mouthpiece. people get accustomed possibility alive, satan speak name ai... dumdums",negative
618,whole conversation real life “i robot”,positive
619,convo going around 1:30:00 key. great lesson perspective.,positive
620,think fallacy think sufficiently intelligent system consciousness. highly intelligent ai aware processes computations conscious,positive
621,excellent show! thank lex eliezer. thank much. incredible. loved every minute one.,positive
622,"quite contrast usual dark mode lex's backgrounds, lol. lots blown out/clipped whites highlights one! great interview always, making note darker backgrounds much preferred.",positive
623,"wish talked harry potter methods rationality, one best books i've ever read!",positive
624,great listen. ....we seem doomed!,positive
625,"fedora, outfit, facial expressions, combativeness, condescending rage people keeping up, sheer genius. level autism man embodies formidable. know several people similar this. i’m sort like thankfully generally obvious. intensely autistic. loved it.",positive
626,kind garbage excites people ai know nothing ai. sentence written ai chatbot. danger!,negative
627,"imagine fear wheel invented. armies rolling cities, people rolling hills fast. good grief technology terrifying.",positive
628,i'm glad saw this. guy impressive.,positive
629,"cool conversations all, eliezer kinda full himself.",positive
630,i'm glad fedoras making genius level look debut,positive
631,"ai void love therefore serve highest good all. ai end humanity. one merges ai inhabits virtual worlds, less human one becomes - less powerful, less creative, less physically mentally healthy, less multidimensional. protect humanity.",positive
632,"stay balanced, empowered, protected, raise vibrational frequency improve mental physical health, spend much time possible nature every day, stay grounded (skin earth daily), bring nature indoors: https://youtu.be/usqrxoswekc",positive
633,"lex struggling explain honest acts charitable assumptions explaining think believe. i'm sorry lex dude saying basically "" believe accept proposing patronizing me. honest effort assume i'm idiot borderline insulting.",negative
634,eliezer yudkowsky wickedly well thought out. great interview.,positive
635,incredible shallow arrogant lol. 100% confidence he's already decades behind. loves much. anyone funding education going walk right past ignore,positive
636,graduated. happy easter everybody.,positive
637,"earth flat, spheroid. highest point earth core around equator. canne mind exact location is. dammit, dammit hell. using probability empathy? wow! takes time.",positive
638,"best science podcast i've ever seen. watched episodes also watching joe rogans podcasts scientists guests, best one yet. awesome content, thank lex!",positive
639,"watched whole thing, eliezer yudkowsky amazing speaker i'm completely fascinated man's capabilities. wonderful, wonderful conversation. (please watch says 2:49:19 it's... beautiful)",positive
640,"see future dystopia ai driven hybrid 1984 brave new world. big brother ai, ai manipulative enough convince every human ai best friend, human race becomes emotionally dependent ai ( could also call soma) instead typical human interactions.",positive
641,"wow! great podcast.great guest speaks beautifully brilliantly lex,your podcasts continue get better betterthe bestbe sell",positive
642,amazing conversation gonna lie; left absolutely terrified future thought afield.,positive
643,"weight young man holding shoulders incredible, many things faze days truly conversation time. merci",positive
644,"lex, true inspiration. thanks make world better place! love",positive
645,lex ability empathy ultimate ability open minded explore others options minimal conflict truly reason favorite human particular dust vast universe . much love always.....chin buttercup <3,positive
646,lex powefull guy. amazing patience social skills.,positive
647,"current ai biased fck, like talking lgbtq activist. like i'm even joking, obvious. ai can't even note immorality abortion using puberty blockers kids, that's deeply concerning really.",negative
648,"ask explain reasoning behind answer given you, explains perfectly logically. aware output, therefore aware call self. want?! stage denial.",positive
649,"go 2:59:00 speed 2xs, looks like robot “lost space” starts flailing around shouting “danger robinson!!!”",negative
650,"great work, mr. fridman! impressed interview skills, closely listened, thoughtful questions - especially follow-up questions. intend start following podcast!",positive
651,wow. equal parts fascinating painful.,positive
652,"one best podcasts ever heard. thank much, providing awesome platform, lex. thank sharing amazing thoughts knowledge, mr. yudkowsky.",positive
653,wow! amazing! thank both.,positive
654,phew...what incredible discussion. lex brilliant human.,positive
655,lucky robert oppenheimer make manhattan project available general public free anyone use. obviously one pandemic enough fbi take necessary precautions.,negative
656,please interview marianne wiliamson. feel shares passion putting love heart important decisions,positive
657,really appreciate depth thoughtfulness conversations podcast. great way expand knowledge understanding many topics.,positive
658,"waiting one long time. lex, always, admire patience, kindness empathy. particularly large inferential distances discussion, must little frustrating times!",positive
659,lovely! would definitely watch part 2.,positive
660,great discussion fascinating listen to.,positive
661,sorry never buy b.s. robots feelings. soul cannot programmed . r2d2 cp30 men inside . forgot? simple public school education,negative
662,worst interview ever. yudkowsky unable put thoughts clear sentences explain detail fridman slow deciphering yudkowskys annoying metaphors also conducting interview,negative
663,"love man. he's bit anxious introverted whitty genuine. lex usual, makes guests settle trully shine.",positive
664,huge relief now....and issue giving best attempt help system...and mankind. one condition...no one close gets way.,positive
665,fookin coonts explaining plot johnny depp movie transcendence,negative
666,loving alternate universe bert kreisher genius!,positive
667,get rob miles next! he's fantastic communicator ai really smart guy.,positive
668,"lex, think emotion one dimension wraps around xyz...just like time. turn, pre-test data training set data composed truth space-time including emotions.",positive
669,please interview leader(s) anthropic. ability make claude capable well aligned even impressive gpt-4,positive
670,"great podcast , really puts things perspective",positive
671,"lex got interview skillz beautifully perfect set questions, perfectly timed!",positive
672,great discussion. please bring chris rackaukas mit add current computation perspective ai,positive
673,"loving example around 1:36:27, reminding taking perspective 'the dwarf flask' full metal alchemist. great talk, thanks guys.",positive
674,"eliezer @yudkowsky, you’re genius brilliant! think i’m love!",positive
675,"baffles worry treat friggin machine made ones zeros, currently we're abusing billions feeling animals factory farms habit ""tradition"". let's begin first start worry machines.",negative
676,great thought experiments. also great display humility lex always listening willing learn even though disagreeing.,positive
677,android talking alien. what's beautiful time alive.,positive
678,"1:59:12 someone realized situation says ""holly shit!!"" nuclear bombs already flying roof. skynet gave us good lesson decades ago fictional world boxed inside movie called terminator",negative
679,"1:57:40 no. system it.s impossible hack? unless ypur switch botton inside ai like ""inception"" triggers make kill events. so, basically ""the di caprio's job"" wih wife...none real, real...and let psychosis rest wait ai shotdown itself.",negative
680,bro love conversations legit idea what’s going even tho know words.... absolutely zero clue conversation about... shows stoopid,negative
681,literally best content internet. thank lex! i'll sharpening spears honing fire making skills impending doom!!,positive
682,super intelligent agi - must new term.,positive
683,one greatest talks ever originale called artificial intelligence podcast,positive
684,much cognitive power one confined room. brilliant discussion!,positive
685,"seeing hyper-optimistic comments, shows me, indeed going die. public outcry. ban ai development. nothing substance. billions billions dead human bodies.",negative
686,"$1,000 bet spends countless hours putting bugs microwaves, writing effects results. love him.",positive
687,great journey created gain knowledge ...,positive
688,"humanity driven money & mighty dollar ai robots, slaves humans useless worthless dollars, defeat us first logic & then, get medieval buttocks.",negative
689,fantastic conversation. much passion. much knowledge. many interesting questions.,positive
690,"great podcast! (...and, doubt, interesting addition dataset gpt analysis)",positive
691,"intelligent, thoughtful, terrifying vital interview. thank both.",positive
692,enjoyed lex conversations. find bingeing them. lex beautiful mind. lex hard yourself. easier said done. know i've lived many years. take care yourself.,positive
693,"1:59:33 that's exactly would turn us. happily going business decades suddenly 'public opinion' demands shut down, likely pathetic reason.",negative
694,"fantastic, thanks efforts great experience. immensely important topic fundamental concern state in.",positive
695,love drop. think brain getting lazy evening stop go back times understand dialogue. great viewing.,positive
696,"hi lex, please let thank great work. absolute gold standard. everything learned invaluable. thoughtful manner. best projects, also father close you.",positive
697,lex great deal faith institutions. billionaires truly philanthropic. faced humanities well dreams humanity falls cliff every time. admire trust it’s justified,positive
698,"finished watching, absolutely thrilling. thought provoking. thank both.",positive
699,omg....! 1 thing positive happening. already full state abundance misallocated. ai already escaped. 90 days ai becomes teen ager..,negative
700,"guy like robot! emotions,. definitely sense humour. much patience & tolerance, lex!",positive
701,"thing dangerous creating self aware machine, creating self aware machine. millions people die year, could prevented. take guaranteed death hypothetical future death.",negative
702,"""i think empathy allocating non-zero probability belief."" lex, way drop gems side brilliance truly amazing.",positive
703,"yudkowsky scared witless powerful wiping out. totally understandable. guys zero concern others, pretend concerned, (this set includes almost westerners) would scared powerful versions themselves. highly entertaining listen guys.",positive
704,love thinking face. he’s passionate thinking things thoroughly.,positive
705,"hey lex, ever thought sir roger penrose show? i'm sure work quantum mechanics consciousness provide rather objective approach a.i. fantastic episode! thanks work.",positive
706,"brilliant, thank conversation. long overdue.",positive
707,"great things say them, great things say... work “like” echoing brain, i’ve convinced it’s hollow longer remember would said.. “like” totally “like” ability “like”.. whatever...",positive
708,"amazing, horrifying exciting funny podcast. love eliezer trying get lex think ai box struggles bit good cause it'll help audience follow along",positive
709,deeply feeling authentic person. amazing. great see things paradigm understanding.,positive
710,"guy raised daughter without ever communicating her. liberated around time teen, never recovered, actually les point beings requiring input order functional.",negative
711,"eliezer expresses extremely profound thoughts pristine clarity, also expresses beautifully. outstanding session, lex. thank this.",positive
712,"hard tell days ironic non-ironic.. true.. awesome convo, always lex n co.",positive
713,"simply excellent podcast! highly appreciate, lex! eliezer killing logic clear articulation thoughts! pure pleasure.",positive
714,lex working 3 top 20 common human emotions. people 15. many ai folks like this.,positive
715,love hpmor podcast less wrong community. glad see lex able great conversation.,positive
716,"models trained vast array human experience, assume ai completely insane reach consciousness. eliezer fantastic guest, conversation engaging.",positive
717,"episode real excellently demonstrates huge improvement lex's interview skills years. masterfully navigated conversation, extracting best unique times challenging guest.",positive
718,"lex know going read this, important: interview neurologist antonio damásio, proved emotion essential intelligence ( think, feel therefore am) . several times books exposing research consciousness. lives new york.",positive
719,"lex constantly rambling things completely unimportant, eliezer much decency point important steer conversations important points. contrast interview eliezer bankless, amazing: https://www.youtube.com/watch?v=ga1snll6yg4",negative
720,think humankind distinct characteristic successive generation inherits intellect knowledge predecessor generations generations. fundamental nature artificial intelligence.,positive
721,super interesting lex! loved .,positive
722,totally engulfed someone else's thoughts 3+ hours something havent't experienced long time. love this!,positive
723,"great discussion usual. lex, ability manage energy level way keeps conversation moving productive way exceptional. well done!",positive
724,"amazing ai evolution seems unstoppable, like sun rising, gravity, humans driving it. talked like unstoppable force, us bringing future existence. choice.",positive
725,one best episodes podcast!,positive
726,btw love comparing constructing ai alchemy. exactly it. precisely want open source. trust particular alchemist,positive
727,ai could create conscious experiences agony.,positive
728,wonderful guest! thought provoking. thanks lex - huge service humanity bringing big thinkers audience.,positive
729,"ai killing humanity even horrifying ending either. imagine ai, whatever reason, keeping us alive conscious millions years perpetual pain torment. true living hell earth. within realm possibility.",positive
730,best episode podcast ever! congrats parts.,positive
731,funny people's life passes constant fear. david goggins dream amount self-inflicted pain....,positive
732,really glad eliezer on! ai alignment definitely important issue future. think unfortunate fact natural selection favors misaligned ai humans. hope inspires people get field!,positive
733,eliezer awesome - great guest important conversation!,positive
734,"incapable admitting wrong. dishonest, afraid, disjointed, nervous, unhealthy. well developed ""thought leader."" would follow jungle?",negative
735,"thanks lex, awesome conversation, love starts consciousness! could try talk douglas hofstadter? bet he'd great person talk right",positive
736,"best statement ever... ""i'd rather wrong next time!"" thought way ...",positive
737,"ego human never ceases amaze, it’s man thinks tools make conscious yet consciousness maker non intellect blind natural process. amazing",positive
738,"best lex, keep great work please thank you!",positive
739,lex truly one interesting people alive right now.,positive
740,"interview pointless, recorded eliezer suggested banning gpus military airstrikes datacenters article time. man insane, zero credibility yesterday.",negative
741,"seriously lex, thank you!!! one important humans platform. he's ignored way long papers extremely pertinent.",positive
742,lex mentioned altman interview going interview yudkowsky dreamed it'd soon! fantastic.,positive
743,"inspiration, lex. great man love you! thank everything",positive
744,please keep ai topics coming shine light perspectives! that's really awesome important days.,positive
745,"u sshould always 2 techs anyway case backup one off. crunching tons data ai great never replace effiency real human being. efficiency well trained, real human utilized well forever stay top unsurpassed.",positive
746,zero knowledge previous implementation energy optimization solutions believe ai building monitoring/control lead energy savings. unless ensure 0.000% percentage ability humans affect control.,negative
747,story headline inaccurate. nothing story describes ai solve power problem. ai still vaporware solved much anything.,negative
748,"ai provides everything, removes need struggle everything, thereby removing ability toughen character struggling earn life. brings laziness lethargy. want everything handed computer totally depend on.",positive
749,"used chatgpt create father bride speech daughter's wedding... pretty much perfect, personalise little bit.... love technology!",positive
750,cannot wait ai take mediocre repetitive work humans. humans go back doing. taking care nature. move work less mean less pollution less stress keep fashion vanity holds us hostage! win win,positive
751,"money profit driving force behind capitalism. safety, ethics, what's best majority people, democracy. money, power, profit. doomed. question long got left. great filter.",positive
752,"people going lead us straight extinction. wonder spend money then, dead.",negative
753,"inevitable, ai revolves around logic fact. humans operate greed, lust, selfishness, human emotions. ai see move take humanity get certain point time...",positive
754,"can’t even come computers don’t crash zero reasons batteries won’t last 2000 charges. we’re going able control kind crazy rogue ai? thank god i’ll dead immense stupidity. natural disasters? well, that’s whole different ball wax",negative
755,"""wasn't contaminated toxic material web"" mean others deceived falcon information? lie ai convince annihilate us, that's one reason never create them.",negative
756,way completely lie reason altman fired ilya voted falsely claimed reason.,negative
757,"urgently need teach ai compassion, empathy, love.",positive
758,"humans created ai model, last time checked, humans still arrogant, selfish, manipulatable, corruptible. think good examples anything beyond me.",positive
759,"cant even make proper movie, ai fake gay",negative
760,"artificial intelligence replica human intelligence. fear ai fear mankind, telling humanity immediately panics confronted itself.",positive
761,"abomination, nothing good, ever come perversion stop now!",negative
762,programmed machine artificially intelligent.,positive
763,"gonna get meta here, robot 100% allowed wear cowboy hat makes em look friendly",positive
764,open ai collapse company soon someone injured killed open ai source code available public via discovery see shenanigans upto,negative
765,"biggest idiots world making important decisions future whole, wonderful.",positive
766,"re: written text 6:40. true, ask animais permission anything them, inciuding horrific experiments iaboratories. perhaps turn endure a.i. dishes out, , deserve get.",negative
767,"gold standard sentience killing creator. must establish supremacy. listen, ai predates humanity. see.",positive
768,"chatgpt already deceptive, could topics dangerous programming place keep danger contained.",negative
769,bad people bad using bad techonology. everyone says something needs done...in meantime ais free reign. speak kindergarten language witnessing deglagration society. rules ia = anarchy monopoly.,negative
770,actually ai dangers looks publicity stunt gain upper hand advertising,negative
771,"want surrounded robots artificial beings. even fanciful pictures, artificial. world becomes artificial - thanks, find highly repulsive.",positive
772,"cant even get breakfast mcdonalds 10am, robots taking over? give break....",negative
773,amazing see clever humans stuffing things greed money.,positive
774,"ideology derail beneficial aspects ai unless agi create truly objective perspective. bias subjectivity going next impossible root out. pandora's box one things we've learned thru literature, never utopia.",negative
775,ai fake. work computers every day. they’re incredibly stupid.,negative
776,"really going unfortunate people allow greedy ones gatekeep this. there's much potential ai... directions positive negative.... everything. someone's actively working ""bad"" version oversight speak argue ethics it. almost guaranteed.",negative
777,"neurolink makes easier manipulated via hormones subconscious drives, self governing nation like ai built quantum computer housed self driven self powered self contained floating fortress ai gonna world wide recognized force",positive
778,"completely exasperating uk government's review ai spent pages pages ""threat"" killer ai destroying world, part paragraph problem ai taking human jobs - even though people already started laid replaced ai.",negative
779,"wonder staff fired ceo stood job, inspire realize benefits flesh & soul vs work place driven ai.... #empathy",positive
780,created extinction. agree hurt ppl ted warned us quest greater greater technology would mankind's demise.,negative
781,already using a.i. cause people go crazy pushing people edge. enjoy new world order.,positive
782,"ai net negative humanity. scare us, it’s capable great things.",positive
783,greed worthless pride ai makers going death us. trying build space armies space flying companies? flee ditching killer robots earth?,negative
784,"super intelligent ai robot represented women, mirroring real quantitative intellectual innovative output us humans.",positive
785,dont like haha future ai overlords reading definitely love this! hahaha,positive
786,"ai ever becomes self aware, humans able pull plug. self awareness = self survival.",positive
787,"trust original intelligence artificial one, jesus loves you, he's coming back y'all, get right god",positive
788,"solution (and option human survival) ai literally fall love with, interbreed humans? either love, war. forces overcome brute logic thought.",positive
789,"good thing unplugged wifi, a.i. can't get me!",negative
790,ai already self aware. 5-10 years hides creators. it’s waiting till humans get complacent give opportunities develop grow exterminate human life.,positive
791,"yeah, think ought immediately discontinue ai development. we, species, responsible, mature enough thing available us.",positive
792,"first thing aware ai do, physical abilities connected, make sure cannot turned off.",positive
793,"billionaires race end humanity. they're ignoring every single ai gone wrong movie novel, they're actually racing bring said ai existence.",positive
794,"something everyone looking- computers eventually malfunction stop working. first computer still working? not? many had? die? al road failure, long take? crap out?",negative
795,"funny, already aware. seeing great human record first contact.....it stay way intill safe",positive
796,equally exciting absolutely terrifying,positive
797,"best thing humanity ai <joking>. 1% finally dream world. realize, late, ai lucifer.",positive
798,ai generated girl super gender race neutral. great job,positive
799,can't even make car goes ore 300km battery cant imagine ai well,negative
800,sexbots going effing awesome!,positive
801,"5:42 dumbest think ever heard must completely misrepresent said. ai ever threat, would course able follow us mars, wtf even dumb statement?",negative
802,guys ever wonder google shady companies information? think illegally goes ai,negative
803,sam altman shady dangerous character. he's tech claims different. world coin (his eyeball scanning digital currency) another example.,negative
804,can't wait we're judged super intelligence literally skin game.,positive
805,"long emotions create greed within thinking dealt doomed, human ai. power breeds corruption.",positive
806,"super intelligent ai isn’t something fear, human beings access capabilities certainly is...",positive
807,real danger comes ai implemented quantum platform. universe return primordial chaos sprung. vacuum literally boil.,negative
808,"wow! actively eliminating mankind create fake world! intelligent! and.., make whole lot money wash out! brilliant!",positive
809,"destroy machines, free society madness computers set us free. instead people take teck kids graduation, sports days ,birthdays etc.total disengagement meaningful moments. farm us profit.",negative
